title,author,avg_rating,rating_count,num_pages,genres,pub_year,url
The Haunting of Hill House,Shirley Jackson,3.82,355203,182.0,"Fiction, Gothic, Mystery",1959.0,https://www.goodreads.com/book/show/89717.The_Haunting_of_Hill_House
Houdini Heart,Ki Longfellow,3.84,5482,254.0,"Horror, Fantasy, Mystery",2011.0,https://www.goodreads.com/book/show/11324204-houdini-heart
A Court of Wings and Ruin,Sarah J. Maas,4.47,2367473,705.0,"Fantasy, Romance, Romantasy",2017.0,https://www.goodreads.com/book/show/23766634-a-court-of-wings-and-ruin
To the Lighthouse,Virginia Woolf,3.81,203367,209.0,"Classics, Fiction, Literature",1927.0,https://www.goodreads.com/book/show/59716.To_the_Lighthouse
Neuromancer,William Gibson,3.89,349427,288.0,"Science Fiction, Fiction, Cyberpunk",1984.0,https://www.goodreads.com/book/show/6088007-neuromancer
Pet Sematary,Stephen King,4.08,657205,580.0,"Horror, Fiction, Thriller",1983.0,https://www.goodreads.com/book/show/33124137-pet-sematary
Redeeming Love,Francine Rivers,4.51,353868,479.0,"Romance, Christian, Christian Fiction",1991.0,https://www.goodreads.com/book/show/11422.Redeeming_Love
Emma,Jane Austen,4.05,938345,474.0,"Fiction, Historical Fiction, Literature",1815.0,https://www.goodreads.com/book/show/6969.Emma
"I, Robot",Isaac Asimov,4.21,365994,224.0,"Science Fiction, Fiction, Classics",1950.0,https://www.goodreads.com/book/show/41804.I_Robot
A Dance with Dragons,George R.R. Martin,4.34,718740,1125.0,"Fantasy, Fiction, Epic Fantasy",2011.0,https://www.goodreads.com/book/show/10664113-a-dance-with-dragons
The Reader,Bernhard Schlink,3.78,223678,216.0,"Fiction, Historical Fiction, Classics",1995.0,https://www.goodreads.com/book/show/101299.The_Reader
The Lost Symbol,Dan Brown,3.76,634759,509.0,"Fiction, Mystery, Thriller",2009.0,https://www.goodreads.com/book/show/6411961-the-lost-symbol
The Goldfinch,Donna Tartt,3.96,996453,771.0,"Fiction, Book Club, Contemporary",2013.0,https://www.goodreads.com/book/show/17333223-the-goldfinch
A Christmas Carol,Charles Dickens,4.09,888796,184.0,"Fiction, Christmas, Classics",1843.0,https://www.goodreads.com/book/show/5326.A_Christmas_Carol
The Return of the King,J.R.R. Tolkien,4.58,988656,385.0,"Fantasy, Fiction, Adventure",1955.0,https://www.goodreads.com/book/show/838729.The_Return_of_the_King
The Age of Innocence,Edith Wharton,3.97,187317,293.0,"Classics, Fiction, Historical Fiction",1920.0,https://www.goodreads.com/book/show/53835.The_Age_of_Innocence
Dubliners,James Joyce,3.84,167676,352.0,"Classics, Fiction, Short Stories",1914.0,https://www.goodreads.com/book/show/11012.Dubliners
The Waste Land,T.S. Eliot,4.11,57199,288.0,"Poetry, Classics, Fiction",1922.0,https://www.goodreads.com/book/show/34080.The_Waste_Land
"Sheever's Journal, Diary of a Poison Master",K. Ritz,4.3,20648,410.0,"Drama, Book Club, Contemporary",2019.0,https://www.goodreads.com/book/show/52022378-sheever-s-journal-diary-of-a-poison-master
The Republic,Plato,3.96,217456,416.0,"Philosophy, Classics, Nonfiction",,https://www.goodreads.com/book/show/30289.The_Republic
Angels & Demons,Dan Brown,3.95,3321875,736.0,"Fiction, Mystery, Thriller",2000.0,https://www.goodreads.com/book/show/960.Angels_Demons
Those Empty Eyes,Charlie Donlea,4.16,68174,368.0,"Thriller, Mystery, Fiction",2023.0,https://www.goodreads.com/book/show/62984900-those-empty-eyes
The Twilight Collection,Stephenie Meyer,3.82,47073,1690.0,"Fantasy, Young Adult, Romance",2007.0,https://www.goodreads.com/book/show/690926.The_Twilight_Collection
City of Glass,Cassandra Clare,4.27,997213,541.0,"Fantasy, Young Adult, Romance",2009.0,https://www.goodreads.com/book/show/3777732-city-of-glass
Voyager,Diana Gabaldon,4.39,322886,870.0,"Historical Fiction, Romance, Fantasy",1993.0,https://www.goodreads.com/book/show/10987.Voyager
The Jungle,Upton Sinclair,3.78,151125,335.0,"Classics, Fiction, Historical Fiction",1906.0,https://www.goodreads.com/book/show/41681.The_Jungle
Lover Awakened,J.R. Ward,4.43,185312,434.0,"Romance, Paranormal, Vampires",2006.0,https://www.goodreads.com/book/show/42900.Lover_Awakened
Betrayed,P.C. Cast,3.92,276516,310.0,"Young Adult, Fantasy, Vampires",2007.0,https://www.goodreads.com/book/show/676924.Betrayed
The Bad Beginning,Lemony Snicket,4.02,553517,162.0,"Fiction, Fantasy, Young Adult",1999.0,https://www.goodreads.com/book/show/78411.The_Bad_Beginning
Divine Secrets of the Ya-Ya Sisterhood,Rebecca Wells,3.86,564132,383.0,"Fiction, Chick Lit, Book Club",1996.0,https://www.goodreads.com/book/show/137791.Divine_Secrets_of_the_Ya_Ya_Sisterhood
The Pearl,John Steinbeck,3.55,257603,96.0,"Fiction, Literature, School",1947.0,https://www.goodreads.com/book/show/5308.The_Pearl
Me Talk Pretty One Day,David Sedaris,4.01,711464,272.0,"Nonfiction, Memoir, Essays",2000.0,https://www.goodreads.com/book/show/4137.Me_Talk_Pretty_One_Day
The Last Battle,C.S. Lewis,4.01,294505,288.0,"Fantasy, Fiction, Classics",1956.0,https://www.goodreads.com/book/show/84369.The_Last_Battle
Snow Falling on Cedars,David Guterson,3.86,191600,460.0,"Fiction, Historical Fiction, Mystery",1994.0,https://www.goodreads.com/book/show/77142.Snow_Falling_on_Cedars
Untamed,P.C. Cast,3.94,242223,338.0,"Young Adult, Vampires, Fantasy",2008.0,https://www.goodreads.com/book/show/2866718-untamed
The Wicked King,Holly Black,4.28,970962,336.0,"Fantasy, Young Adult, Romance",2019.0,https://www.goodreads.com/book/show/26032887-the-wicked-king
"I, Claudius",Robert Graves,4.25,73720,469.0,"Historical Fiction, Fiction, Classics",1934.0,https://www.goodreads.com/book/show/18765.I_Claudius
The Exorcist,William Peter Blatty,4.21,255063,385.0,"Horror, Fiction, Classics",1971.0,https://www.goodreads.com/book/show/179780.The_Exorcist
The Two Towers,J.R.R. Tolkien,4.5,1065877,447.0,"Fantasy, Fiction, Adventure",1954.0,https://www.goodreads.com/book/show/222910.The_Two_Towers
The 5th Wave,Rick Yancey,4.0,472038,457.0,"Young Adult, Science Fiction, Dystopia",2013.0,https://www.goodreads.com/book/show/16101128-the-5th-wave
The Elite,Kiera Cass,3.94,838308,336.0,"Romance, Young Adult, Dystopia",2013.0,https://www.goodreads.com/book/show/16248068-the-elite
Everything is Illuminated,Jonathan Safran Foer,3.89,182318,276.0,"Fiction, Historical Fiction, Contemporary",2002.0,https://www.goodreads.com/book/show/256566.Everything_is_Illuminated
A Room with a View,E.M. Forster,3.9,194749,119.0,"Classics, Fiction, Romance",1908.0,https://www.goodreads.com/book/show/3087.A_Room_with_a_View
What Lies in the Woods,Kate Alice Marshall,3.95,176247,336.0,"Thriller, Mystery, Mystery Thriller",2023.0,https://www.goodreads.com/book/show/60784373-what-lies-in-the-woods
Sense and Sensibility,Jane Austen,4.09,1252507,409.0,"Classics, Fiction, Romance",1811.0,https://www.goodreads.com/book/show/14935.Sense_and_Sensibility
The War of the Worlds,H.G. Wells,3.83,335974,192.0,"Science Fiction, Fiction, Classics",1898.0,https://www.goodreads.com/book/show/8909.The_War_of_the_Worlds
The Queen of Nothing,Holly Black,4.34,875455,321.0,"Fantasy, Young Adult, Romance",2019.0,https://www.goodreads.com/book/show/26032912-the-queen-of-nothing
Words of Radiance,Brandon Sanderson,4.76,435955,1088.0,"Fantasy, Fiction, Epic Fantasy",2014.0,https://www.goodreads.com/book/show/17332218-words-of-radiance
A Discovery of Witches,Deborah Harkness,4.02,534793,592.0,"Fantasy, Romance, Fiction",2011.0,https://www.goodreads.com/book/show/8667848-a-discovery-of-witches
Bleak House,Charles Dickens,4.02,111839,1017.0,"Classics, Fiction, Literature",1853.0,https://www.goodreads.com/book/show/31242.Bleak_House
World War Z: An Oral History of the Zombie War,Max Brooks,4.02,551535,342.0,"Horror, Fiction, Zombies",2006.0,https://www.goodreads.com/book/show/8908.World_War_Z
Unravel Me,Tahereh Mafi,4.11,686836,480.0,"Fantasy, Dystopia, Young Adult",2013.0,https://www.goodreads.com/book/show/13104080-unravel-me
The Complete Poems of Emily Dickinson,Emily Dickinson,4.28,104173,716.0,"Poetry, Classics, Fiction",1890.0,https://www.goodreads.com/book/show/112204.The_Complete_Poems_of_Emily_Dickinson
Unwind,Neal Shusterman,4.17,242293,337.0,"Young Adult, Dystopia, Science Fiction",2007.0,https://www.goodreads.com/book/show/764347.Unwind
Chosen,P.C. Cast,3.91,251556,307.0,"Young Adult, Vampires, Fantasy",2008.0,https://www.goodreads.com/book/show/1326258.Chosen
انتحار فاشل,أحمد جمال الدين رمضان,4.55,3281,175.0,"Short Stories, Fiction, Literature",2016.0,https://www.goodreads.com/book/show/30528535
Brideshead Revisited,Evelyn Waugh,4.0,121842,351.0,"Fiction, Historical Fiction, Classics",1945.0,https://www.goodreads.com/book/show/30933.Brideshead_Revisited
The Silent Patient,Alex Michaelides,4.17,2875944,336.0,"Thriller, Mystery, Fiction",2019.0,https://www.goodreads.com/book/show/40097951-the-silent-patient
North and South,Elizabeth Gaskell,4.15,177975,521.0,"Fiction, Romance, Historical Fiction",1855.0,https://www.goodreads.com/book/show/156538.North_and_South
The Woman in White,Wilkie Collins,4.01,161355,672.0,"Classics, Mystery, Gothic",1859.0,https://www.goodreads.com/book/show/5890.The_Woman_in_White
Macbeth,William Shakespeare,3.89,978331,249.0,"Classics, Plays, Fiction",1623.0,https://www.goodreads.com/book/show/8852.Macbeth
The God Delusion,Richard Dawkins,3.9,277491,374.0,"Nonfiction, Religion, Science",2006.0,https://www.goodreads.com/book/show/14743.The_God_Delusion
Shadow and Bone,Leigh Bardugo,3.92,1044393,358.0,"Fantasy, Young Adult, Romance",2012.0,https://www.goodreads.com/book/show/10194157-shadow-and-bone
العصبي,أحمد جمال الدين رمضان,4.6,2863,165.0,"Short Stories, Fiction, Literature",2016.0,https://www.goodreads.com/book/show/30528544
Of Human Bondage,W. Somerset Maugham,4.15,59773,684.0,"Fiction, Classics, Literature",1915.0,https://www.goodreads.com/book/show/31548.Of_Human_Bondage
Ugly Love,Colleen Hoover,4.01,2166940,330.0,"Romance, Contemporary, New Adult",2014.0,https://www.goodreads.com/book/show/17788401-ugly-love
2001: A Space Odyssey,Arthur C. Clarke,4.17,327765,297.0,"Science Fiction, Fiction, Classics",1968.0,https://www.goodreads.com/book/show/70535.2001
The Iron King,Julie Kagawa,3.87,216764,363.0,"Fantasy, Young Adult, Romance",2010.0,https://www.goodreads.com/book/show/6644117-the-iron-king
Bloodlines,Richelle Mead,4.2,189438,432.0,"Young Adult, Fantasy, Vampires",2011.0,https://www.goodreads.com/book/show/8709527-bloodlines
The Witching Hour,Anne Rice,4.1,121986,1216.0,"Horror, Fantasy, Fiction",1990.0,https://www.goodreads.com/book/show/11901.The_Witching_Hour
Vanity Fair,William Makepeace Thackeray,3.81,131354,867.0,"Classics, Fiction, Historical Fiction",1847.0,https://www.goodreads.com/book/show/5797.Vanity_Fair
Snow Crash,Neal Stephenson,4.02,291229,559.0,"Science Fiction, Fiction, Cyberpunk",1992.0,https://www.goodreads.com/book/show/40651883-snow-crash
Wizard's First Rule,Terry Goodkind,4.12,251108,836.0,"Fantasy, Fiction, Epic Fantasy",1994.0,https://www.goodreads.com/book/show/43889.Wizard_s_First_Rule
Call Me By Your Name,André Aciman,4.1,557753,248.0,"Romance, Fiction, LGBT",2007.0,https://www.goodreads.com/book/show/36336078-call-me-by-your-name
The Left Hand of Darkness,Ursula K. Le Guin,4.1,204562,304.0,"Science Fiction, Fiction, Fantasy",1969.0,https://www.goodreads.com/book/show/18423.The_Left_Hand_of_Darkness
Johnny Got His Gun,Dalton Trumbo,4.21,46771,309.0,"Fiction, Classics, War",1939.0,https://www.goodreads.com/book/show/51606.Johnny_Got_His_Gun
Far From the Madding Crowd,Thomas Hardy,3.97,161368,433.0,"Classics, Fiction, Romance",1874.0,https://www.goodreads.com/book/show/31463.Far_From_the_Madding_Crowd
Empire of Storms,Sarah J. Maas,4.63,1029172,689.0,"Young Adult, Romance, Romantasy",2016.0,https://www.goodreads.com/book/show/28260587-empire-of-storms
Much Ado About Nothing,William Shakespeare,4.06,253192,249.0,"Plays, Fiction, Classics",1598.0,https://www.goodreads.com/book/show/12957.Much_Ado_About_Nothing
Cannery Row,John Steinbeck,4.06,147427,181.0,"Fiction, Classics, Literature",1943.0,https://www.goodreads.com/book/show/4799.Cannery_Row
Anne of Avonlea,L.M. Montgomery,4.23,215445,276.0,"Fiction, Young Adult, Historical Fiction",1909.0,https://www.goodreads.com/book/show/77390.Anne_of_Avonlea
A Court of Silver Flames,Sarah J. Maas,4.46,1791179,757.0,"Fantasy, Romance, Romantasy",2021.0,https://www.goodreads.com/book/show/53138095-a-court-of-silver-flames
Daisy Jones & The Six,Taylor Jenkins Reid,4.2,1729381,368.0,"Fiction, Historical Fiction, Audiobook",2019.0,https://www.goodreads.com/book/show/40597810-daisy-jones-the-six
A Monster Calls,Patrick Ness,4.35,280867,237.0,"Fantasy, Young Adult, Fiction",2011.0,https://www.goodreads.com/book/show/25480342-a-monster-calls
Bared to You,Sylvia Day,4.13,543038,352.0,"Romance, Erotica, Contemporary",2012.0,https://www.goodreads.com/book/show/20448515-bared-to-you
"Cry, the Beloved Country",Alan Paton,3.92,77919,316.0,"Fiction, Classics, Historical Fiction",1948.0,https://www.goodreads.com/book/show/6150.Cry_the_Beloved_Country
Little House on the Prairie,Laura Ingalls Wilder,4.21,297782,335.0,"Classics, Historical Fiction, Childrens",1935.0,https://www.goodreads.com/book/show/77767.Little_House_on_the_Prairie
Are You My Mother?,P.D. Eastman,4.22,249350,64.0,"Childrens, Fiction, Picture Books",1960.0,https://www.goodreads.com/book/show/197084.Are_You_My_Mother_
Torment,Lauren Kate,3.84,241853,452.0,"Young Adult, Fantasy, Romance",2010.0,https://www.goodreads.com/book/show/7740152-torment
The Polar Express,Chris Van Allsburg,4.32,245729,32.0,"Picture Books, Childrens, Christmas",1985.0,https://www.goodreads.com/book/show/420282.The_Polar_Express
Perfect Chemistry,Simone Elkeles,4.04,262259,368.0,"Romance, Young Adult, Contemporary",2008.0,https://www.goodreads.com/book/show/4268157-perfect-chemistry
Sarah's Key,Tatiana de Rosnay,4.18,487162,294.0,"Historical Fiction, Fiction, Book Club",2006.0,https://www.goodreads.com/book/show/556602.Sarah_s_Key
Hyperion,Dan Simmons,4.27,280301,500.0,"Science Fiction, Fiction, Fantasy",1989.0,https://www.goodreads.com/book/show/77566.Hyperion
Little House in the Big Woods,Laura Ingalls Wilder,4.21,280171,224.0,"Classics, Historical Fiction, Childrens",1932.0,https://www.goodreads.com/book/show/8337.Little_House_in_the_Big_Woods
I'll Give You the Sun,Jandy Nelson,4.15,350616,371.0,"Young Adult, Contemporary, Romance",2014.0,https://www.goodreads.com/book/show/20820994-i-ll-give-you-the-sun
Cress,Marissa Meyer,4.4,391859,552.0,"Fantasy, Young Adult, Science Fiction",2014.0,https://www.goodreads.com/book/show/13206828-cress
Into Thin Air: A Personal Account of the Mt. Everest Disaster,Jon Krakauer,4.25,542615,368.0,"Nonfiction, Adventure, Memoir",1997.0,https://www.goodreads.com/book/show/1898.Into_Thin_Air
A Great and Terrible Beauty,Libba Bray,3.8,224744,403.0,"Fantasy, Young Adult, Historical Fiction",2003.0,https://www.goodreads.com/book/show/3682.A_Great_and_Terrible_Beauty
They Both Die at the End,Adam Silvera,3.75,825111,389.0,"Romance, Young Adult, LGBT",2017.0,https://www.goodreads.com/book/show/33385229-they-both-die-at-the-end
The Red Pyramid,Rick Riordan,4.1,415690,528.0,"Fantasy, Mythology, Young Adult",2010.0,https://www.goodreads.com/book/show/7090447-the-red-pyramid
Heartstopper: Volume One,Alice Oseman,4.44,834054,288.0,"Graphic Novels, Young Adult, LGBT",2018.0,https://www.goodreads.com/book/show/40495957-heartstopper
The Darkest Minds,Alexandra Bracken,4.15,201971,488.0,"Young Adult, Dystopia, Fantasy",2012.0,https://www.goodreads.com/book/show/10576365-the-darkest-minds
The Mortal Instruments Boxed Set: City of Bones; City of Ashes; City of Glass,Cassandra Clare,4.55,68712,1520.0,"Fantasy, Young Adult, Paranormal",2009.0,https://www.goodreads.com/book/show/6485421-the-mortal-instruments-boxed-set
The Horse and His Boy,C.S. Lewis,3.91,377183,224.0,"Fantasy, Fiction, Young Adult",1954.0,https://www.goodreads.com/book/show/84119.The_Horse_and_His_Boy
Chocolat,Joanne Harris,3.96,129013,306.0,"Fiction, Romance, Magical Realism",1999.0,https://www.goodreads.com/book/show/47401.Chocolat
Cutting for Stone,Abraham Verghese,4.33,412268,560.0,"Fiction, Book Club, Historical Fiction",2009.0,https://www.goodreads.com/book/show/3591262-cutting-for-stone
The Unbecoming of Mara Dyer,Michelle Hodkin,4.02,188739,456.0,"Young Adult, Fantasy, Paranormal",2011.0,https://www.goodreads.com/book/show/11408650-the-unbecoming-of-mara-dyer
Halfway to the Grave,Jeaniene Frost,4.13,162269,374.0,"Paranormal, Vampires, Urban Fantasy",2007.0,https://www.goodreads.com/book/show/1421990.Halfway_to_the_Grave
Sabriel,Garth Nix,4.17,214543,491.0,"Fantasy, Young Adult, Fiction",1995.0,https://www.goodreads.com/book/show/518848.Sabriel
The Summoning,Kelley Armstrong,4.03,175201,390.0,"Young Adult, Fantasy, Paranormal",2008.0,https://www.goodreads.com/book/show/2800905-the-summoning
Angelfall,Susan Ee,4.1,196050,288.0,"Fantasy, Young Adult, Dystopia",2011.0,https://www.goodreads.com/book/show/15863832-angelfall
A Man Called Ove,Fredrik Backman,4.38,1142666,337.0,"Fiction, Book Club, Contemporary",2012.0,https://www.goodreads.com/book/show/18774964-a-man-called-ove
The Art of War,Sun Tzu,3.95,541111,170.0,"Classics, Nonfiction, Philosophy",,https://www.goodreads.com/book/show/10534.The_Art_of_War
The Westing Game,Ellen Raskin,4.0,226115,182.0,"Mystery, Fiction, Young Adult",1978.0,https://www.goodreads.com/book/show/902.The_Westing_Game
Just Listen,Sarah Dessen,4.05,249265,371.0,"Young Adult, Romance, Contemporary",2006.0,https://www.goodreads.com/book/show/51738.Just_Listen
The Last Lecture,Randy Pausch,4.26,357249,217.0,"Nonfiction, Memoir, Biography",2008.0,https://www.goodreads.com/book/show/40611510-the-last-lecture
No Country for Old Men,Cormac McCarthy,4.16,227591,309.0,"Fiction, Thriller, Westerns",2005.0,https://www.goodreads.com/book/show/12497.No_Country_for_Old_Men
Silence,Becca Fitzpatrick,4.07,291561,440.0,"Fantasy, Young Adult, Romance",2011.0,https://www.goodreads.com/book/show/10637766-silence
Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,Greg Mortenson,3.66,358427,349.0,"Nonfiction, Book Club, Memoir",2006.0,https://www.goodreads.com/book/show/49436.Three_Cups_of_Tea
Taming Flame,Therisa Peimer,4.29,17313,312.0,"Fiction, Novels, Fantasy",2022.0,https://www.goodreads.com/book/show/61608233-taming-flame
Scarlet,Marissa Meyer,4.24,446824,454.0,"Fantasy, Young Adult, Science Fiction",2013.0,https://www.goodreads.com/book/show/13206760-scarlet
Swann’s Way,Marcel Proust,4.15,65168,468.0,"Fiction, France, Literature",1913.0,https://www.goodreads.com/book/show/12749.Swann_s_Way
The Love Hypothesis,Ali Hazelwood,4.12,1632938,356.0,"Contemporary, Fiction, Fake Dating",2021.0,https://www.goodreads.com/book/show/56732449-the-love-hypothesis
Sapiens: A Brief History of Humankind,Yuval Noah Harari,4.34,1175202,512.0,"Nonfiction, History, Science",2011.0,https://www.goodreads.com/book/show/23692271-sapiens
Verity,Colleen Hoover,4.3,3426547,336.0,"Thriller, Romance, Mystery",2018.0,https://www.goodreads.com/book/show/59344312-verity
The Truth About Forever,Sarah Dessen,4.12,225114,374.0,"Young Adult, Romance, Contemporary",2004.0,https://www.goodreads.com/book/show/51737.The_Truth_About_Forever
Trainspotting,Irvine Welsh,4.11,173657,431.0,"Fiction, Contemporary, Classics",1993.0,https://www.goodreads.com/book/show/135836.Trainspotting
Twelfth Night,William Shakespeare,3.96,190531,272.0,"Plays, Fiction, Classics",1602.0,https://www.goodreads.com/book/show/1625.Twelfth_Night
I Am Number Four,Pittacus Lore,3.94,348404,440.0,"Young Adult, Fantasy, Science Fiction",2010.0,https://www.goodreads.com/book/show/7747374-i-am-number-four
The Goose Girl,Shannon Hale,4.14,146695,383.0,"Fantasy, Young Adult, Romance",2003.0,https://www.goodreads.com/book/show/179064.The_Goose_Girl
Nine Stories,J.D. Salinger,4.18,151992,302.0,"Short Stories, Fiction, Classics",1953.0,https://www.goodreads.com/book/show/4009.Nine_Stories
Lady Chatterley’s Lover,D.H. Lawrence,3.5,133099,376.0,"Fiction, Romance, Classics",1928.0,https://www.goodreads.com/book/show/32049.Lady_Chatterley_s_Lover
I Capture the Castle,Dodie Smith,3.99,110772,408.0,"Classics, Fiction, Young Adult",1948.0,https://www.goodreads.com/book/show/31122.I_Capture_the_Castle
Gray After Dark,Noelle W. Ihli,4.22,67049,370.0,"Thriller, Mystery Thriller, Mystery",2024.0,https://www.goodreads.com/book/show/204787816-gray-after-dark
Dead to the World,Charlaine Harris,4.12,264587,291.0,"Fantasy, Vampires, Paranormal",2004.0,https://www.goodreads.com/book/show/140077.Dead_to_the_World
Ishmael,Daniel Quinn,4.01,101659,338.0,"Fiction, Philosophy, Spirituality",1992.0,https://www.goodreads.com/book/show/40611328-ishmael
The Bronze Horseman,Paullina Simons,4.29,91435,637.0,"Historical Fiction, Romance, Historical",2000.0,https://www.goodreads.com/book/show/83144.The_Bronze_Horseman
Speaker for the Dead,Orson Scott Card,4.11,265300,382.0,"Science Fiction, Fiction, Fantasy",1986.0,https://www.goodreads.com/book/show/7967.Speaker_for_the_Dead
No One Can Know,Kate Alice Marshall,3.66,69457,325.0,"Thriller, Mystery, Mystery Thriller",2024.0,https://www.goodreads.com/book/show/127305892-no-one-can-know
Caraval,Stephanie Garber,3.97,748879,407.0,"Fantasy, Young Adult, Romance",2016.0,https://www.goodreads.com/book/show/27883214-caraval
Pericles and Aspasia: A Story of Ancient Greece,Yvonne Korshak,4.29,16168,557.0,"Fiction, Drama, Historical Fiction",2022.0,https://www.goodreads.com/book/show/62986809-pericles-and-aspasia
The Last Unicorn,Peter S. Beagle,4.16,117886,294.0,"Fantasy, Fiction, Young Adult",1968.0,https://www.goodreads.com/book/show/29127.The_Last_Unicorn
Slammed,Colleen Hoover,4.15,424139,354.0,"Romance, Young Adult, New Adult",2012.0,https://www.goodreads.com/book/show/30333938-slammed
Ask for Andrea,Noelle W. Ihli,4.09,157536,272.0,"Horror, Mystery Thriller, Mystery",2022.0,https://www.goodreads.com/book/show/60168787-ask-for-andrea
You Are Special,Max Lucado,4.45,53283,32.0,"Picture Books, Childrens, Christian",,https://www.goodreads.com/book/show/56728.You_Are_Special
Demian,Hermann Hesse,4.14,126631,193.0,"Fiction, Philosophy, German Literature",1919.0,https://www.goodreads.com/book/show/24861.Demian
The Hours,Michael Cunningham,3.95,145889,230.0,"Fiction, Historical Fiction, Contemporary",1998.0,https://www.goodreads.com/book/show/11899.The_Hours
The Arabian Nights,Anonymous,4.03,79935,1049.0,"Classics, Fiction, Fantasy",,https://www.goodreads.com/book/show/93101.The_Arabian_Nights
Captive in the Dark,C.J. Roberts,3.94,74451,276.0,"Dark, Romance, BDSM",2011.0,https://www.goodreads.com/book/show/12513614-captive-in-the-dark
Cyrano de Bergerac,Edmond Rostand,4.06,88532,240.0,"Classics, Plays, Fiction",1897.0,https://www.goodreads.com/book/show/15638.Cyrano_de_Bergerac
Drums of Autumn,Diana Gabaldon,4.35,262515,928.0,"Historical Fiction, Romance, Fantasy",1996.0,https://www.goodreads.com/book/show/40909452-drums-of-autumn
The Club,Ellery Lloyd,3.29,119673,320.0,"Mystery, Thriller, Fiction",2022.0,https://www.goodreads.com/book/show/58536005-the-club
Acheron,Sherrilyn Kenyon,4.56,61097,723.0,"Paranormal Romance, Paranormal, Romance",2008.0,https://www.goodreads.com/book/show/2299110.Acheron
The Lies of Locke Lamora,Scott Lynch,4.31,321777,752.0,"Fantasy, Fiction, Audiobook",2006.0,https://www.goodreads.com/book/show/29588376-the-lies-of-locke-lamora
Julius Caesar,William Shakespeare,3.71,213776,175.0,"Plays, Fiction, Drama",1599.0,https://www.goodreads.com/book/show/13006.Julius_Caesar
World Without End,Ken Follett,4.32,265992,1237.0,"Historical Fiction, Fiction, Historical",2007.0,https://www.goodreads.com/book/show/5064.World_Without_End
Normal People,Sally Rooney,3.81,1696998,273.0,"Fiction, Romance, Contemporary",2018.0,https://www.goodreads.com/book/show/41057294-normal-people
The Glass Menagerie,Tennessee Williams,3.73,139181,104.0,"Plays, Classics, Fiction",1945.0,https://www.goodreads.com/book/show/92517.The_Glass_Menagerie
A Wizard of Earthsea,Ursula K. Le Guin,4.01,342744,183.0,"Fantasy, Fiction, Young Adult",1968.0,https://www.goodreads.com/book/show/13642.A_Wizard_of_Earthsea
"Good Girl, Bad Blood",Holly Jackson,4.27,691546,413.0,"Mystery, Young Adult, Thriller",2020.0,https://www.goodreads.com/book/show/51335759-good-girl-bad-blood
Head Like a Hole,Andrew Van Wey,3.86,5630,382.0,"Horror, Fiction, Mystery",2022.0,https://www.goodreads.com/book/show/61800582-head-like-a-hole
"Being a Witch, and Other Things I Didn't Ask For",Sara Pascoe,4.29,26188,380.0,"Adventure, Novels, Fiction",2015.0,https://www.goodreads.com/book/show/34186576-being-a-witch-and-other-things-i-didn-t-ask-for
The Knife of Never Letting Go,Patrick Ness,3.98,200346,528.0,"Young Adult, Dystopia, Science Fiction",2008.0,https://www.goodreads.com/book/show/20758104-the-knife-of-never-letting-go
The Glass Castle,Jeannette Walls,4.32,1307932,288.0,"Nonfiction, Memoir, Book Club",2005.0,https://www.goodreads.com/book/show/7445.The_Glass_Castle
The Roommate,Kiersten Modglin,3.81,11125,275.0,"Thriller, Psychological Thriller, Mystery",2021.0,https://www.goodreads.com/book/show/57040367-the-roommate
Think Twice,Harlan Coben,4.25,40134,368.0,"Mystery, Thriller, Fiction",2024.0,https://www.goodreads.com/book/show/198494009-think-twice
We Need to Talk About Kevin,Lionel Shriver,4.08,205219,400.0,"Fiction, Book Club, Thriller",2003.0,https://www.goodreads.com/book/show/80660.We_Need_to_Talk_About_Kevin
1Q84,Haruki Murakami,3.95,329952,944.0,"Fiction, Fantasy, Magical Realism",2009.0,https://www.goodreads.com/book/show/10357575-1q84
The Holy Bible: King James Version,Anonymous,4.44,305350,1590.0,"Classics, Nonfiction, Christian",1611.0,https://www.goodreads.com/book/show/1923820.The_Holy_Bible
Red Rising,Pierce Brown,4.27,608548,382.0,"Science Fiction, Fantasy, Fiction",2014.0,https://www.goodreads.com/book/show/15839976-red-rising
Look Closer,David Ellis,4.18,110884,448.0,"Thriller, Mystery Thriller, Mystery",2022.0,https://www.goodreads.com/book/show/59316367-look-closer
The Scorch Trials,James Dashner,3.9,620425,362.0,"Young Adult, Dystopia, Science Fiction",2010.0,https://www.goodreads.com/book/show/7631105-the-scorch-trials
Hunted,P.C. Cast,3.93,188587,336.0,"Young Adult, Vampires, Fantasy",2009.0,https://www.goodreads.com/book/show/4134071-hunted
A Dog's Purpose,W. Bruce Cameron,4.35,137509,319.0,"Fiction, Animals, Dogs",2010.0,https://www.goodreads.com/book/show/7723542-a-dog-s-purpose
The Girl Who Was Taken,Charlie Donlea,4.19,138553,449.0,"Thriller, Mystery, Fiction",2017.0,https://www.goodreads.com/book/show/39657755-the-girl-who-was-taken
Better Than the Movies,Lynn Painter,4.27,616054,356.0,"Romance, Young Adult, Contemporary",2021.0,https://www.goodreads.com/book/show/55710822-better-than-the-movies
